Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble,nivel_poder_ejecutivo
Nicaragua,1987,0.64,"20,535",4,0.33,2,77,we representatives of the people of nicaragua united in the constituent national assembly invoking the struggles of our indigenous ancestors the spirit of central american unity and the combative tradition of our people who inspired by the example of general jose dolores estrada andres castro and emmanuel mongalo destroyed the dominion of the foreign adventurers and defeated the northamerican intervention in the national war the antiinterventionist actions of benjamin zeledon the general of free people augusto c sandino father of the popular and anti imperialist revolution the heroic action of rigoberto lopez perez initiator of the beginning of the end of the dictatorship the example of carlos fonseca the greatest perpetuator of sandinos legacy founder of the sandinista national liberation front and leader of the revolution the generations of heroes and martyrs who forged and carried forward the liberation struggle for national independence in the name of the nicaraguan people all democratic patriotic and revolutionary parties and organizations of nicaragua its men and women its workers and peasants its glorious youth its heroic mothers those christians who inspired by their belief in god have joined and committed themselves to the struggle for the liberation of the oppressed its patriotic intellectuals and all those who through their productive work contribute to the defense of the homeland those who offer their lives in fighting against imperialist aggression to guarantee happiness for new generations for the institutionalization of the achievements of the revolution and the establishment of a new society that eliminates all forms of exploitation and achieves economic political and social equality among nicaraguans and absolute respect for human rights for the homeland for the revolution for the unity of the nation and for peace we promulgate the following political constitution of the republic of nicaragua,0
Niger,2010,0.66,"14,806",5,0.43,1,46,we the sovereign nigerien peopleresolved to consolidate the gains of the republic and of the national independence proclaimed respectively on the th of december of and the rd of august of as well as those of the sovereign national conference that reunited from the th of july to the rd of november of the totality of the living forces of the nationresolved to build a state of law guaranteeing on the one hand the exercise of collective and individual rights freedom justice dignity equality safety and wellbeing as fundamental values of our society and on the other hand democratic alternation and good governance resolved to build a united nation dignified peaceful industrious and prosperous profoundly attached to the values of civilization that founded our personality concerned to safeguard our cultural identity proclaim our attachment to the principles of pluralist democracy and of human rights as defined by the universal declaration of human rights of the international pact relative to civil and political rights of the international pact relative to the economical social and cultural rights of and by the african charter of the rights of man and of peoples of proclaim our attachment to the regional and international juridical instruments of protection and of promotion of human rights as signed and ratified by niger reaffirm our attachment to african unity and our engagement to make every effort to realize regional and subregional integration express our willingness to cooperate in amity equality and mutual respect with all peoples who love peace justice and freedom reaffirm our absolute opposition to any political regime founded on dictatorship arbitrariness impunity injustice corruption racketeering regionalism ethnocentrism nepotism personal power and the cult of personality solemnly adopt this constitution supreme law of the state to which we swear respect loyalty and fidelity and of which this is an integral part,1
Nigeria,1999,0.63,"66,263",2,0.38,4,57,we the people of the federal republic of nigeria having firmly and solemnly resolved to live in unity and harmony as one indivisible and indissoluble sovereign nation under god dedicated to the promotion of interafrican solidarity world peace international co operation and understanding and to provide for a constitution for the purpose of promoting the good government and welfare of all persons in our country on the principles of freedom equality and justice and for the purpose of consolidating the unity of our people do hereby make enact and give to ourselves the following constitution,0
North Korea,1972,0.5,"7,364",1,0.33,1,35,the democratic peoples republic of korea is a socialist fatherland of juche which embodies the idea of and guidance by the great leader comrade kim ii sung the great leader comrade kim ii sung is the founder of the dprk and the socialist korea comrade kim ii sung founded the immortal juche idea organized and guided an antijapanese revolutionary struggle under its banner created revolutionary tradition attained the historical cause of the national liberation and founded the dprk built up a solid basis of construction of a sovereign and independent state in the fields of politics economy culture and military and founded the dprk comrade kim ii sung put forward an independent revolutionary line wisely guided the social revolution and construction at various levels strengthened and developed the republic into a peoplecentered socialist country and a socialist state of independence selfsustenance and selfdefense comrade kim ii sung clarified the fundamental principle of state building and activities established the most superior state social system and political method and social management system and method and provided a firm basis for the prosperous and powerful socialist fatherland and the continuation of the task of completing the juche revolutionary cause comrade kim ii sung regarded believing in the people as in heaven as his motto was always with the people devoted his whole life to them took care of and guided them with a noble politics of benevolence and turned the whole society into one big and united family the great leader comrade kim ii sung is the sun of the nation and the lodestar of the reunification of the fatherland comrade kim ii sung set the reunification of the country as the nations supreme task and devoted all his work and endeavors entirely to its realization comrade kim ii sung while turning the republic into a mighty fortress for national reunification indicated fundamental principles and methods for national reunification developed the national reunification movement into a pannational movement and opened up a way for that cause to be attained by the united strength of the entire nation the great leader comrade kim ii sung made clear the fundamental idea of the republics external policy expanded and developed diplomatic relations on this basis and heightened the international prestige of the republic comrade kim ii sung as a veteran world political leader hew out a new era of independence vigorously worked for the reinforcement and development of the socialist movement and the nonaligned movement and for world peace and friendship between peoples and made an immortal contribution to the mankinds independent cause comrade kim ii sung was a genius ideological theoretician and a genius art leader an evervictorious ironwilled brilliant commander a great revolutionary and politician and a great human being comrade kim ii sungs great idea and achievements in leadership are the eternal treasures of the nation and a fundamental guarantee for the prosperity and efflorescence of the dprk the dprk and the entire korean people will uphold the great leader comrade kim ii sung as the eternal president of the republic defend and carry forward his ideas and exploits and complete the juche revolution under the leadership of the workers party of korea the dprk socialist constitution is a kim ii sung constitution which legally embodies comrade kim ii sungs juche state construction ideology and achievements,0
Pakistan,2002,0.64,"56,240",5,0.29,3,45,whereas sovereignty over the entire universe belongs to almighty allah alone and the authority to be exercised by the people of pakistan within the limits prescribed by him is a sacred trust and whereas it is the will of the people of pakistan to establish an order wherein the state shall exercise its powers and authority through the chosen representatives of the people wherein the principles of democracy freedom equality tolerance and social justice as enunciated by islam shall be fully observed wherein the muslims shall be enabled to order their lives in the individual and collective spheres in accordance with the teachings and requirements of islam as set out in the holy quran and sunnah wherein adequate provision shall be made for the minorities freely to profess and practise their religions and develop their cultures wherein the territories now included in or in accession with pakistan and such other territories as may hereafter be included in or accede to pakistan shall form a federation wherein the units will be autonomous with such boundaries and limitations on their powers and authority as may be prescribed wherein shall be guaranteed fundamental rights including equality of status of opportunity and before law social economic and political justice and freedom of thought expression belief faith worship and association subject to law and public morality wherein adequate provision shall be made to safeguard the legitimate interests of minorities and backward and depressed classes wherein the independence of the judiciary shall be fully secured wherein the integrity of the territories of the federation its independence and all its rights including its sovereign rights on land sea and air shall be safeguarded so that the people of pakistan may prosper and attain their rightful and honoured place amongst the nations of the world and make their full contribution towards international peace and progress and happiness of humanity now therefore we the people of pakistan conscious of our responsibility before almighty allah and men cognisant of the sacrifices made by the people in the cause of pakistan faithful to the declaration made by the founder of pakistan quaidiazam mohammad ali jinnah that pakistan would be a democratic state based on islamic principles of social justice dedicated to the preservation of democracy achieved by the unremitting struggle of the people against oppression and tyranny inspired by the resolve to protect our national and political unity and solidarity by creating an egalitarian society through a new order do hereby through our representatives in the national assembly adopt enact and give to ourselves this constitution,1
Panama,1972,0.59,"26,097",5,0.19,2,63,with the ultimate purpose to strengthen the nation to guarantee the freedom ensure democracy and institutional stability exalt human dignity promote social justice general welfare regional integration and invoking the protection of god we decree the political constitution of the republic of panama,1
Papua New Guinea,1975,0.47,"58,490",2,0.33,2,53,we the people of papua new guineaunited in one nationpay homage to the memory of our ancestors the source of our strength and origin of our combined heritage acknowledge the worthy customs and traditional wisdoms of our people which have come down to us from generation to generation pledge ourselves to guard and pass on to those who come after us our noble traditions and the christian principles that are ours now by authority of our inherent right as ancient free and independent peoples we the people do now establish this sovereign nation and declare ourselves under the guiding hand of god to be the independent state of papua new guinea and we assert by virtue of that authoritythat all power belongs to the people acting through their duly elected representativesthat respect for the dignity of the individual and community interdependence are basic principles of our society that we guard with our lives our national identity integrity and self respect that we reject violence and seek consensus as a means of solving our common problems that our national wealth won by honest hard work be equitably shared by all we do now therefore declare that we having resolved to enact a constitution for the independent state of papua new guinea and acting through our constituent assembly on august hereby establish adopt and give to ourselves this constitution to come into effect on independence day that is september in so doing we the people of papua new guinea set before ourselves these national goals and directive principles that underlie our constitution national goals and directive principles we hereby proclaim the following aims as our national goals and direct all persons and bodies corporate and unincorporate to be guided by these our declared directives in pursuing and achieving our aims integral human developmentwe declare our first goal to be for every person to be dynamically involved in the process of freeing himself from every form of domination or oppression so that each man or woman will have the opportunity to develop as a whole person in relationship with others we accordingly call foreveryone to be involved in our endeavours to achieve integral human development of the whole person for every person and to seek fulfilment through his or her contribution to the common good and education to be based on mutual respect and dialogue and to promote awareness of our human potential and motivation to achieve our national goals through selfreliant effort and all forms of beneficial creativity including sciences and cultures to be actively encouraged and improvement in the level of nutrition and the standard of public health to enable our people to attain self fulfilment and the family unit to be recognized as the fundamental basis of our society and for every step to be taken to promote the moral cultural economic and social standing of the melanesian family and development to take place primarily through the use of papua new guinean forms of social and political organization equality and participationwe declare our second goal to be for all citizens to have an equal opportunity to participate in and benefit from the development of our country we accordingly call foran equal opportunity for every citizen to take part in the political economic social religious and cultural life of the country and the creation of political structures that will enable effective meaningful participation by our people in that life and in view of the rich cultural and ethnic diversity of our people for those structures to provide for substantial decentralization of all forms of government activity and every effort to be made to achieve an equitable distribution of incomes and other benefits of development among individuals and throughout the various parts of the country and equalization of services in all parts of the country and for every citizen to have equal access to legal processes and all services governmental and otherwise that are required for the fulfilment of his or her real needs and aspirations and equal participation by women citizens in all political economic social and religious activities and the maximization of the number of citizens participating in every aspect of development and active steps to be taken to facilitate the organization and legal recognition of all groups engaging in development activities and means to be provided to ensure that any citizen can exercise his personal creativity and enterprise in pursuit of fulfilment that is consistent with the common good and for no citizen to be deprived of this opportunity because of the predominant position of another and every citizen to be able to participate either directly or through a representative in the consideration of any matter affecting his interests or the interests of his community and all persons and governmental bodies of papua new guinea to ensure that as far as possible political and official bodies are so composed as to be broadly representative of citizens from the various areas of the country and all persons and governmental bodies to endeavour to achieve universal literacy in pisin hiri motu or english and in quottok plesquot or quotita eda tano gadoquot and recognition of the principles that a complete relationship in marriage rests on equality of rights and duties of the partners and that responsible parenthood is based on that equality national sovereignty and selfreliancewe declare our third goal to be for papua new guinea to be politically and economically independent and our economy basically selfreliant we accordingly call forour leaders to be committed to these national goals and directive principles to ensure that their freedom to make decisions is not restricted by obligations to or relationship with others and to make all of their decisions in the national interest and all governmental bodies to base their planning for political economic and social development on these goals and principles and internal interdependence and solidarity among citizens and between provinces to be actively promoted and citizens and governmental bodies to have control of the bulk of economic enterprise and production and strict control of foreign investment capital and wise assessment of foreign ideas and values so that these will be subordinate to the goal of national sovereignty and selfreliance and in particular for the entry of foreign capital to be geared to internal social and economic policies and to the integrity of the nation and the people and the state to take effective measures to control and actively participate in the national economy and in particular to control major enterprises engaged in the exploitation of natural resources and economic development to take place primarily by the use of skills and resources available in the country either from citizens or the state and not in dependence on imported skills and resources and the constant recognition of our sovereignty which must not be undermined by dependence on foreign assistance of any sort and in particular for no investment military or foreignaid agreement or understanding to be entered into that imperils our selfreliance and selfrespect or our commitment to these national goals and directive principles or that may lead to substantial dependence upon or influence by any country investor lender or donor natural resources and environmentwe declare our fourth goal to be for papua new guineas natural resources and environment to be conserved and used for the collective benefit of us all and be replenished for the benefit of future generations we accordingly call forwise use to be made of our natural resources and the environment in and on the land or seabed in the sea under the land and in the air in the interests of our development and in trust for future generations and the conservation and replenishment for the benefit of ourselves and posterity of the environment and its sacred scenic and historical qualities and all necessary steps to be taken to give adequate protection to our valued birds animals fish insects plants and trees papua new guinean wayswe declare our fifth goal to be to achieve development primarily through the use of papua new guinean forms of social political and economic organizations we accordingly call fora fundamental reorientation of our attitudes and the institutions of government commerce education and religion towards papua new guinean forms of participation consultation and consensus and a continuous renewal of the responsiveness of these institutions to the needs and attitudes of the people and particular emphasis in our economic development to be placed on smallscale artisan service and business activity and recognition that the cultural commercial and ethnic diversity of our people is positive strength and for the fostering of a respect for and appreciation of traditional ways of life and culture including language in all their richness and variety as well as for a willingness to apply these ways dynamically and creatively for the tasks of development and traditional villages and communities to remain as viable units of papua new guinean society and for active steps to be taken to improve their cultural social economic and ethical quality basic rightswe hereby acknowledge that subject to any restrictions imposed by law on noncitizens all persons in our country are entitled to the fundamental rights and freedoms of the individual that is to say the right whatever their race tribe places of origin political opinion colour creed or sex but subject to respect for the rights and freedoms of others and for the legitimate public interest to each of the followinglife liberty security of the person and the protection of the law and the right to take part in political activities and freedom from inhuman treatment and forced labour and freedom of conscience of expression of information and of assembly and association and freedom of employment and freedom of movement and protection for the privacy of their homes and other property and from unjust deprivation of property and have accordingly included in this constitution provisions designed to afford protection to those rights and freedoms subject to such limitations on that protection as are contained in those provisions being limitations primarily designed to ensure that the enjoyment of the acknowledged rights and freedoms by an individual does not prejudice the rights and freedoms of others or the legitimate public interest basic social obligationswe hereby declare that all persons in our country have the following basic obligations to themselves and their descendants to each other and to the nationto respect and to act in the spirit of this constitution and to recognize that they can fully develop their capabilities and advance their true interests only by active participation in the development of the national community as a whole and to exercise the rights guaranteed or conferred by this constitution and to use the opportunities made available to them under it to participate fully in the government of the nation and to protect papua new guinea and to safeguard the national wealth resources and environment in the interests not only of the present generation but also of future generations and to work according to their talents in socially useful employment and if necessary to create for themselves legitimate opportunities for such employment and to respect the rights and freedoms of others and to cooperate fully with others in the interests of interdependence and solidarity and to contribute as required by law according to their means to the revenues required for the advancement of the nation and the purposes of papua new guinea and in the case of parents to support assist and educate their children whether born in or out of wedlock and in particular to give them a true understanding of their basic rights and obligations and of the national goals and directive principles and in the case of the children to respect their parents in addition we hereby declare that all citizens have an obligation to themselves and their descendants to each other and to the nation to use profits from economic activities in the advancement of our country and our people and that the law may impose a similar obligation on noncitizens carrying on economic activities in or from our country,0
Paraguay,1992,0.61,"25,461",3,0.33,4,74,the paraguayan people through their legitimate representatives meeting in constituent national convention invoking god recognizing human dignity in order to assure liberty equality and justice reaffirming the principles of republican representative participative and pluralistic democracy ratifying the national sovereignty and independence and integrating the international community sanctions and promulgates this constitution asunción june,0
Peru,1993,0.7,"19,216",6,0.33,5,72,the democratic constituent congress invoking almighty god obeying the mandate of the peruvian people and remembering the sacrifice of all the preceding generations of our land has resolved to enact the following constitution,1
Philippines,1987,0.71,"21,954",3,0.33,4,63,we the sovereign filipino people imploring the aid of almighty god in order to build a just and humane society and establish a government that shall embody our ideals and aspirations promote the common good conserve and develop our patrimony and secure to ourselves and our posterity the blessings of independence and democracy under the rule of law and a regime of truth justice freedom love equality and peace do ordain and promulgate this constitution,0
Poland,1997,0.66,"19,602",6,0.43,3,60,having regard for the existence and future of our homeland which recovered in the possibility of a sovereign and democratic determination of its fate we the polish nation all citizens of the republic both those who believe in god as the source of truth justice good and beauty as well as those not sharing such faith but respecting those universal values as arising from other sources equal in rights and obligations towards the common good poland beholden to our ancestors for their labours their struggle for independence achieved at great sacrifice for our culture rooted in the christian heritage of the nation and in universal human values recalling the best traditions of the first and the second republic obliged to bequeath to future generations all that is valuable from our over one thousand years heritage bound in community with our compatriots dispersed throughout the world aware of the need for cooperation with all countries for the good of the human family mindful of the bitter experiences of the times when fundamental freedoms and human rights were violated in our homeland desiring to guarantee the rights of the citizens for all time and to ensure diligence and efficiency in the work of public bodies recognizing our responsibility before god or our own consciences hereby establish this constitution of the republic of poland as the basic law for the state based on respect for freedom and justice cooperation between the public powers social dialogue as well as on the principle of subsidiarity in the strengthening the powers of citizens and their communities we call upon all those who will apply this constitution for the good of the third republic to do so paying respect to the inherent dignity of the person his or her right to freedom the obligation of solidarity with others and respect for these principles as the unshakeable foundation of the republic of poland,1
Portugal,1976,0.76,"35,219",5,0.29,1,87,on the th of april the armed forces movement crowned the long years of resistance and reflected the deepest feelings of the portuguese people by overthrowing the fascist regime freeing portugal from dictatorship oppression and colonialism was a revolutionary change and the beginning of an historic turning point for portuguese society the revolution restored their fundamental rights and freedoms to the people of portugal in the exercise of those rights and freedoms the peoples legitimate representatives have come together to draw up a constitution that matches the countrys aspirations the constituent assembly affirms the portuguese peoples decision to defend national independence guarantee fundamental citizens rights establish the basic principles of democracy ensure the primacy of a democratic state based on the rule of law and open up a path towards a socialist society with respect for the will of the portuguese people and with a view to the construction of a country that is freer more just and more fraternal meeting in plenary session on april the constituent assembly does hereby pass and decree the following constitution of the portuguese republic,1
Russia,1993,0.64,"12,908",7,0.24,3,64,the declaration of rights of the laboring and exploited people approved by the third allrussian congress of soviets in january together with the constitution of the soviet republic approved by the fifth congress constitutes a single fundamental law of the russian socialist federated soviet republic this fundamental law becomes effective upon the publication of the same in its entirety in the quotizvestia of the allrussian general executive committeequot it must be published by all organs of the soviet government and must be posted in a prominent place in every soviet institution the fifth congress instructs the peoples commissariat of education to introduce in all schools and educational institutions of the russian republic the study and explanation of the basic principles of this constitution,1
Rwanda,2003,0.63,"16,940",6,0.33,4,53,we the people of rwandain the wake of the genocide against the tutsi that was organised and supervised by unworthy leaders and other perpetrators and that decimated more than a million sons and daughters of rwanda resolved to fight the ideology of genocide and all its manifestations and to eradicate ethnic regional and any other form of divisions determined to fight dictatorship by putting in place democratic institutions and leaders freely elected by ourselves emphasizing on the necessity to strengthen and promote national unity and reconciliation which were seriously shaken by the genocide against the tutsi and its consequences conscious that peace and unity of rwandans constitute the essential basis for national economic development and social progress resolved to build a state governed by the rule of law based on respect for fundamental human rights pluralistic democracy equitable power sharing tolerance and resolution of issues through dialogue considering that we enjoy the privilege of having one country a common language a common culture and a long shared history which ought to lead to a common vision of our destiny considering that it is necessary to draw from our centuriesold history the positive values which characterized our ancestors that must be the basis for the existence and flourishing of our nation reaffirming our adherence to the principles of human rights enshrined in the united nations charter of june the convention on the prevention and punishment of the crime of genocide of december the universal declaration of human rights of december the international convention on the elimination of all forms of racial discrimination of december the international covenant on economic social and cultural rights of december the international covenant on civil and political rights of december the convention on the elimination of all forms of discrimination against women of may the african charter of human and peoples rights of june and the convention on the rights of the child of november committed to ensuring equal rights between rwandans and between women and men without prejudice to the principles of gender equality and complementarity in national development determined to develop human resources to fight ignorance to promote technological advancement and the social welfare of the people of rwanda considering that after the transition period rwanda shall be governed by a constitution comprising ideas expressed by rwandans themselves now hereby adopt by referendum this constitution as the supreme law of the republic of rwanda,1
Saint Kitts and Nevis,1983,0.56,"49,643",3,0.1,1,36,whereas the people of saint christopher and nevisdeclare that the nation is established on the belief in almighty god and the inherent dignity of each individual assert that they are entitled to the protection of fundamental rights and freedoms believe in the concept of true democracy with free and fair elections desire the creation of a climate of economic wellbeing in the context of respect for law and order and are committed to achieve their national objectives with a unity of purpose now therefore the following provisions shall have effect as the constitution of saint christopher and nevis,0
Saint Lucia,1978,0.61,"38,271",3,0.1,0,41,whereas the people of saint luciaaffirm their faith in the supremacy of the almighty god believe that all persons have been endowed equally by god with inalienable rights and dignity recognise that the enjoyment of these rights depends upon certain fundamental freedoms namely freedom of the person of thought of expression of communication of conscience and of association maintain that these freedoms can only be safeguarded by the rule of law realise that human dignity requires respect for spiritual values for private family life and property and the enjoyment of an adequate standard of economic and social wellbeing dependent upon the resources of the state respect the principles of social justice and therefore believe that the operation of the economic system should result in the material resources of the community being so distributed as to subserve the common good that there should be adequate means of livelihood for all that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit ability and integrity express their commitment to democracy in particular the principle of a government freely elected on the basis of universal adult suffrage consider that individually each person has duties towards every other and to the community and is under obligation to observe and promote the rights freedoms and values recognised in this constitution pledge their support for international peace and security for friendly relations among nations and the promotion of universal respect for human rights and freedoms and their cooperation in solving by peaceful means international problems of an economic social or political character desire that this constitution shall reflect and make provision for ensuring and protecting these rights freedoms and values now therefore the following provisions shall have effect as the constitution of saint lucia,0
Samoa,1962,0.34,"19,611",4,0.14,4,37,in the holy name of god the almighty the ever loving whereas sovereignty over the universe belongs to the omnipresent god alone and the authority to be exercised by the people of samoa within the limits prescribed by his commandments is a sacred heritage whereas the leaders of samoa have declared that samoa should be an independent state based on christian principles and samoan custom and tradition and whereas the constitutional convention representing the people of samoa has resolved to frame a constitution for the independent state of samoa wherein the state should exercise its powers and authority through the chosen representatives of the people wherein should be secured to all the people their fundamental rights wherein the impartial administration of justice should be fully maintained and wherein the integrity of samoa its independence and all its rights should be safeguarded now therefore we the people of samoa in our constitutional convention this twentyeighth day of october do hereby adopt enact and give to ourselves this constitution,0
Sao Tome and Principe,1975,0.51,"7,988",5,0.38,1,62,during five centuries the sao tomean people were locked in a hard and heroic struggle against colonial domination for the liberty of their occupied country for the conquest of sovereignty and national independence for the restoration of their usurped rights and for the reaffirmation of their human dignity and african character on th july under the enlightened direction of the liberation movement of s tome and principe mlstp the sao tomean people attained their national independence and proclaimed before africa and all humanity the democratic republic of s tome and principe that victory the greatest of our history only was possible thanks to the sacrifices and to the determination of valiant sons of s tome and principe who for centuries always resisted the colonial presence and in organized themselves in clstp and later on in in mlstp until achieving the supreme objective of national liberation with the proclamation of national independence the representative assembly of the s tomean people entrusted to the political bureau of the mlstp through a stipulation in the rd article of the fundamental law then approved the heavy responsibility of as the highest political organ of the nation assuming the leadership of the society and of the state in s tome and principe targeting the noble objective of guaranteeing independence and national unity through the building of a democratic state in accordance with the maximum plan of the mlstp fifteen years later and after deep analysis of the experience of legitimate exercise of power by mlstp the central committee in its session of december faithful to the patriotic duty of promoting the balanced and harmonious development of s tome and principe decided to sanction formally the just national aspirations expressed during the national conference of th to th december of in the sense of opening the necessary space to the participation of other politically organized forces with a view toward broadening democracy for the modernization of s tome and principe inspired by the historic necessity of promoting increasingly broader and responsible participation of the citizen in the various dominions of the national life this present revision to the constitutional text in addition to consecrating the principle that the monopoly of power does not constitute by itself alone sufficient guarantee of progress represents the collective will of the sao tomeans in giving their share of contribution to the universality of the fundamental rights and liberties of man in these terms after approval by the national popular assembly exercising the powers conferred upon it and contained in line i of article and ratification by popular referendum as provided in no of article all of the constitution in effect i promulgate the following constitution,1
Senegal,2001,0.53,"10,866",7,0.29,2,33,the sovereign people of senegal profoundly attached to their fundamental cultural values which constitutes the cement of the national unity convinced of the will of all the citizens men and women to assume common destiny by solidarity work and patriotic commitment considering that national construction is founded on individual liberty and respect for the human person sources of creativity conscious of the necessity to affirm and to consolidate the foundations of the nation and of the state attached to the ideal of african unity affirmtheir adhesion to the declaration of the rights of man and of the citizen of and to the international instruments adopted by the organization of the united nations and the organization of african unity notably the universal declaration of the rights of man of december the convention on the elimination of all forms of discrimination with regard to women of december the convention relative to the rights of the child of november and the african charter of the rights of man and of peoples of june their attachment to transparency in the conduct and management of public affairs as well as to the principle of good governance their determination to strive lutter for peace and fraternity with all the peoples of the world proclaimthe intangible principle of the integrity of the national territory and of the national unity within respect for the cultural specificities of all the components of the nationthe inalterability of the national sovereignty which is expressed through transparent and democratic procedures and consultations the separation and the balance of powers conceded and exercised through democratic procedures the respect for the fundamental freedoms and of the rights of the citizen as the basis of the senegalese society the respect for and the consolidation of a state of law in which the state and the citizens are subject to the same juridical norms under the control of an independent and impartial justice the access of all the citizens without discrimination to the exercise of power at all its levels to the equal access of all the citizens to the public services the rejection and the elimination under all their forms of injustice of inequalities and of discriminations the will of senegal to be a modern state which functions according to the loyal and equitable interaction jeu between a majority which governs and a democratic opposition and a state which recognizes this opposition as a fundamental pillar of democracy and an indispensible cog rouage to the good functioning of the democratic mechanism approve and adopt this constitution of which the is an integral part,1
Serbia,2006,0.64,"19,891",3,0.43,1,88,considering the state tradition of the serbian people and equality of all citizens and ethnic communities in serbia considering also that the province of kosovo and metohija is an integral part of the territory of serbia that it has the status of a substantial autonomy within the sovereign state of serbia and that from such status of the province of kosovo and metohija follow constitutional obligations of all state bodies to uphold and protect the state interests of serbia in kosovo and metohija in all internal and foreign political relations the citizens of serbia adopt,0
Seychelles,1993,0.63,"39,729",5,0.19,3,61,we the people of seychelles grateful to almighty god that we inhabit one of the most beautiful countries in the world ever mindful of the uniqueness and fragility of seychelles conscious of our colonial history before becoming an independent republic aware and proud that as descendants of different races we have learnt to live together as one nation under god and can serve as an example for a harmonious multiracial society having attained national stability and political maturity despite the pressures of a sadly divided world desirous to build a just fraternal and humane society in a spirit of friendship and cooperation with all peoples of the world recognising the inherent dignity and the equal and inalienable rights of members of the human family as the foundation for freedom justice welfare fraternity peace and unity reaffirming that these rights include the rights of the individual to life liberty and the pursuit of happiness free from all types of discrimination considering that these rights are most effectively maintained and protected in a democratic society where all powers of government spring from the will of the people exercising our natural and inalienable right to a framework of government which shall secure for ourselves and posterity the blessings of truth liberty fraternity equality of opportunity justice peace stability and prosperity invoking the blessings of almighty god solemnly declaring our unswaying commitment during this our third republic tomaintain seychelles as an independent state both politically and economicallysafeguard its sovereignty and territorial integrity uphold the rule of law based on the recognition of the fundamental human rights and freedoms enshrined in this constitution and on respect for the equality and dignity of human beings develop a democratic system which will ensure the creation of an adequate and progressive social order guaranteeing food clothing shelter education health and a steadily rising standard of living for all seychellois participate actively in the sustainable economic and social development of our society exercise our individual rights and freedoms with due regard to the rights and freedoms of others and the common interest help preserve a safe healthy and functioning environment for ourselves and for posterity hereby adopt and confer upon ourselves this constitution as the fundamental and supreme law of our sovereign and democratic republic,1
Slovenia,1991,0.61,"11,406",6,0.52,5,72,proceeding from the basic constitutional charter on the sovereignty and independence of the republic of slovenia and from fundamental human rights and freedoms and the fundamental and permanent right of the slovene nation to selfdetermination and from the historical fact that in a centurieslong struggle for national liberation we slovenes have established our national identity and asserted our statehood the assembly of the republic of slovenia hereby adopts,1
Solomon Islands,1978,0.41,"31,836",1,0.05,4,41,we the people of solomon islands proud of the wisdom and the worthy customs of our ancestors mindful of our common and diverse heritage and conscious of our common destiny do now under the guiding hand of god establish the sovereign democratic state of solomon islands as a basis of our united nation declare thatall power in solomon islands belongs to its people and is exercised on their behalf by the legislature the executive and the judiciary established by this constitution the natural resources of our country are vested in the people and the government of solomon islands agree and pledge thatour government shall be based on democratic principles of universal suffrage and the responsibility of executive authorities to elected assemblies we shall uphold the principles of equality social justice and the equitable distribution of incomes we shall respect and enhance human dignity and strengthen and build on our communal solidarity we shall cherish and promote the different cultural traditions within solomon islands we shall ensure the participation of our people in the governance of their affairs and provide within the framework of our national unity for the decentralisation of power and for these purposes we now give ourselves this constitution,0
